code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
14628-2,Bile acid,SCnc,Pt,Ser/Plas,Qn,,Total Bile Acids,Total Bile Acids
74864-0,IgA.kappa,MCnc,Pt,Ser/Plas,Qn,,"IgA Kappa, S","IgA Kappa, S"
74869-9,IgA.kappa/IgA.lambda,MRto,Pt,Ser/Plas,Qn,,IgA K/L HLC Ratio,IgA K/L HLC Ratio
74862-4,IgG.kappa,MCnc,Pt,Ser/Plas,Qn,,"IgG Kappa, S","IgG Kappa, S"
74863-2,IgG.lambda,MCnc,Pt,Ser/Plas,Qn,,"IgG Lambda, S","IgG Lambda, S"
74868-1,IgG.kappa/IgG.lambda,MRto,Pt,Ser/Plas,Qn,,IgG K/L HLC Ratio,IgG K/L HLC Ratio
61112-9,HTLV,Type,Pt,Ser/Plas,Nom,,HTLV-I/-II Bands,HTLV-I/-II Bands
77744-1,HTLV I & II Ab band pattern,Imp,Pt,Ser/Plas,Nom,,HTLV-I/-II Discrimination,HTLV-I/-II Discrimination
93745-8,HTLV I+II Ab.IgG,PrThr,Pt,CSF,Ord,Line blot,"HTLV-1/-2 Ab Confirmation, CSF","HTLV-1/-2 Ab Confirmation, CSF"
93743-3,HTLV I & II Ab.IgG band,Type,Pt,CSF,Nom,Line blot,HTLV-1/-2 Bands,HTLV-1/-2 Bands
93742-5,HTLV I & II Ab band pattern,Imp,Pt,CSF,Nom,Line blot,HTLV-1/-2 Discrimination,HTLV-1/-2 Discrimination
93725-0,Heparan sulfate,MCnc,Pt,Ser/Plas,Qn,,Heparan Sulfate,Heparan Sulfate
93724-3,Keratan sulfate,MCnc,Pt,Ser/Plas,Qn,,Total Keratan Sulfate,Total Keratan Sulfate
93748-2,Fibrin monomer,MCnc,Pt,PPP,Qn,IA,Soluble Fibrin Monomer,Soluble Fibrin Monomer
67151-1,Troponin T.cardiac,MCnc,Pt,Ser/Plas,Qn,High sensitivity,"Troponin T, 5th gen, P","Troponin T, 5th gen, P"
48595-3,von Willebrand evaluation,Imp,Pt,PPP,Nom,,VWF:FVIIIB Interpretation,VWF:FVIIIB Interpretation
93686-4,Psychosine,SCnc,Pt,CSF,Qn,,"Psychosine, CSF","Psychosine, CSF"
93687-2,Psychosine,SCnt,Pt,RBC,Qn,,"Psychosine, RBC","Psychosine, RBC"
93688-0,Psychosine,SCnc,Pt,Bld.dot,Qn,,Psychosine,Psychosine
83124-8,Triiodothyronine,MCnc,Pt,Ser/Plas,Qn,IA,"T3 (Triiodothyronine), Total, S","T3 (Triiodothyronine), Total, S"
83119-8,Thyroxine,MCnc,Pt,Ser/Plas,Qn,IA,"T4 (Thyroxine), Total Only, S","T4 (Thyroxine), Total Only, S"
83122-2,Thyroxine.free,MCnc,Pt,Ser/Plas,Qn,IA,"T4 (Thyroxine), Free, S","T4 (Thyroxine), Free, S"
21889-1,Size,Len,Pt,Tumor,Qn,,Tumor Diameter (mm),Tumor Diameter (mm)
2895-1,Protoporphyrin.zinc,MCnc,Pt,RBC,Qn,,Zinc-Complexed Protoporphyrin,Zinc-Complexed Protoporphyrin
73884-9,Steroid fractions interpretation,Imp,24H,Urine,Nar,,Interpretation,Interpretation
6705-8,Androsterone,MRat,24H,Urine,Qn,,Androsterone,Androsterone
2268-1,Etiocholanolone,MRat,24H,Urine,Qn,,Etiocholanolone,Etiocholanolone
13612-7,Dehydroepiandrosterone,MRat,24H,Urine,Qn,,Dehydroepiandrosterone,Dehydroepiandrosterone
2834-0,Pregnanediol,MRat,24H,Urine,Qn,,Pregnanediol,Pregnanediol
2836-5,Pregnanetriol,MRat,24H,Urine,Qn,,Pregnanetriol,Pregnanetriol
50643-6,Pregnanetriolone,MRat,24H,Urine,Qn,,Pregnanetriolone,Pregnanetriolone
13611-9,6-Beta-Hydroxycortisol,MRat,24H,Urine,Qn,,6B-OH-Cortisol,6B-OH-Cortisol
2995-9,Tetrahydrocortisol,MRat,24H,Urine,Qn,,Tetrahydrocortisol,Tetrahydrocortisol
21044-3,5-Alpha tetrahydrocortisol,MRat,24H,Urine,Qn,,5a-Tetrahydrocortisol,5a-Tetrahydrocortisol
53634-2,Beta cortol,MRat,24H,Urine,Qn,,B-Cortol,B-Cortol
6701-7,11-Hydroxyandrosterone,MRat,24H,Urine,Qn,,11B-OH-Androsterone,11B-OH-Androsterone
6700-9,11-Hydroxyetiocholanolone,MRat,24H,Urine,Qn,,11B-OH-Etiocholanolone,11B-OH-Etiocholanolone
